Guid,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,AccountNumber,Website,Industry,NumberOfEmployees,Ownership,Description,CurrencyIsoCode,IsPartner,IsCustomerPortal,Jigsaw,AccountSource,SicDesc,SBQQ__ContractCoTermination__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__DefaultOpportunity__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__CoTerminationEvent__c
01c23d14-0ae4-4bfa-96d3-0f1c03cee128,#N/A,Zoonoodle,Prospect,#N/A,1 Nationwide Plz,Columbus,OH,43215-2226,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 182171,Columbus,OH,43218-2171,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.614.249.7111,#N/A,#N/A,Media,#N/A,#N/A,Polimarc Inc. is the leader in Media in Columbus,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
04239a23-58bf-478e-80f3-3e3c8d8c08b9,#N/A,Browsebug,Customer,efde0613-0606-490f-a795-14d7f5dd98c5,600 N Dairy Ashford Rd,Houston,TX,77079-1100,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 2197,Houston,TX,77252-2197,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.281.293.1000,#N/A,#N/A,Technology,#N/A,#N/A,"Optimetrics, LLC is the leader in Technology in Houston",#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0523f3d3-f9dc-48c3-9475-d2846239f3d1,#N/A,KFC,Customer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Restaurant,500,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0559b0b9-f82f-462c-866f-ee5ec093adc5,#N/A,Skinte,Customer,#N/A,9900 Bren Rd E Ste 300w,Minnetonka,MN,55343-9693,United States,#N/A,#N/A,#N/A,#N/A,#N/A,P.O. BOX 1459,Minneapolis,MN,55440-1459,US,#N/A,#N/A,#N/A,#N/A,#N/A,1.952.936.1300,#N/A,#N/A,Shipping,#N/A,#N/A,"Input, Inc. is the leader in Shipping in Minnetonka",#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
07cee3e5-e10a-4f46-8e51-45139e16872f,#N/A,Pixope,Prospect,#N/A,50137 Brickson Park Alley,Savannah,GA,31410,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Consulting,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0877a566-c2a3-4c82-9bc2-9d651a1a7452,#N/A,Oozz,Customer,#N/A,170 W Tasman Dr,San Jose,CA,95134-1706,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.408.526.4000,#N/A,#N/A,Higher Education,#N/A,#N/A,Franklin Research College is the leader in Higher Education in San Jose,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0887b261-a990-4a48-a958-0dc13e1c5131,#N/A,Pizza Hut,Prospect,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Restaurant,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0938a1cc-70d6-4bcd-b7d7-890a7891544d,#N/A,Photolist,Customer,#N/A,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,(02) 7233 8627,#N/A,#N/A,Healthcare,#N/A,#N/A,CL North is the leader in Healthcare in Avoca Beach,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0ac1f6e6-8143-4f40-989f-f1a8e10f8c42,#N/A,Vitz,Customer,#N/A,3135 Easton Tpke,Fairfield,CT,06828-0001,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.203.373.2211,#N/A,#N/A,Technology,#N/A,#N/A,"Signal Processing, LLC is the leader in Technology in Fairfield",#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
0fb4f72a-97f5-4c3f-99f6-250c336a8e34,#N/A,Dabtype,Prospect,#N/A,5678 Victory Rd,Brighton,Colorado,80020,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Machinery,#N/A,#N/A,Alexa Roberts is the leader in Machinery in Brighton,#N/A,#N/A,false,#N/A,#N/A,#N/A,Never,Contract Based,Same,No,false,false,#N/A,false,true,#N/A,#N/A
