Guid,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,IsExcludedFromTerritory2Filter,SBQQ__Contracted__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,sbaa__ApprovalStatus__c,sbaa__ApprovalStep__c,sbaa__StepApproved__c,sbaa__SubmittedDate__c
8608473a-deb8-4240-94c1-afce94103308,941d94f1-5221-4341-9a7d-6f9d4ce43fac,Uidoo - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2024-11-29,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
11ea6f15-369c-442c-bba9-daa72d77595a,c8a7f003-1abe-4ee1-8bea-462e1783bd71,Mybuzz - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-09-15,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
d6d5be32-c420-4a73-b6c8-1d42c38fbf63,22d85080-95d6-4dab-93e1-a2944901be50,Kamba - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2024-05-02,#N/A,#N/A,#N/A,Omitted,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
44aac16a-7ca3-44c4-a30c-96eb0b4b6f1c,25a8ed68-137b-4999-bb69-92c88ba7c0f8,Aibox - Upsell,#N/A,Qualification,75000.0,10.0,2025-01-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
53b1a1ee-8d90-4f0a-acd6-6b902684a155,546a569b-7290-4cb9-9786-9e7fc04428c1,Voolia - Upsell,#N/A,Qualification,75000.0,10.0,2025-01-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
e654f3a9-9261-4209-9592-ae6cf8fe24bc,5dfde749-c4d8-4c22-85f1-3ad25e7bd300,Feedbug - Upsell,#N/A,Qualification,100082.0,10.0,2025-01-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
b7566214-e598-47c3-b316-0208dd6611b5,c33c570b-73dc-41c1-aa3a-7b5c3d085d9c,Zoomlounge - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-09-15,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
76144d5c-53d5-411c-9c2f-d1a81456d1c1,5bbc88d0-af95-4e21-8223-4d392643a459,Rhycero - Upsell,#N/A,Qualification,75000.0,10.0,2025-01-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
d7c49431-862f-46c6-a9d0-b5df341541d1,abe878f2-d161-4186-bbaa-613c31c1ea9e,Dynava - Cross-sell,#N/A,Proposal/Price Quote,18350.0,75.0,2024-11-29,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
8871a9dc-89f5-4f8e-8028-f9c7dbe4323a,4bec0d8e-73e3-48a8-90cf-6963f255af48,Tavu - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2024-11-13,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
