Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
32f7fc54-73ab-4f3e-9511-b9cb51511c47,Resource_Location__c,Field Value,equals,#N/A,e8b363e4-210e-460e-bdfb-e282a6a17b1d,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
acd39173-42e7-469b-b57e-3d938af0b454,Resource_Location__c,Field Value,equals,#N/A,6daea88c-78f6-4d2a-9153-3c6201d7be48,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
ea22a49e-d08a-43cd-b53d-4e10880fa5e0,Lower_Bound_Percent__c,Field Value,greater or equals,#N/A,5d4870fb-d090-4553-aca2-70af4aa0c365,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
3810dfa6-d280-4ca7-aff1-c8123fcffc92,Role__c,Field Value,equals,#N/A,6daea88c-78f6-4d2a-9153-3c6201d7be48,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
892c88eb-ae1c-4799-a91d-8ea1ae9c83ac,Product__c,Field Value,equals,#N/A,76bc0c50-5b45-4335-8403-5f378a24d860,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
221a77e2-6cd6-4d8c-bf4b-937d75b3e181,Upper_Bound_Percent__c,Field Value,less than,#N/A,5d4870fb-d090-4553-aca2-70af4aa0c365,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
56466540-ca56-4375-82c5-4963fbedea9c,Approval_Level__c,Static Value,equals,#N/A,ce868037-2630-417d-b47a-ce3b5f7f15cb,#N/A,#N/A,#N/A,#N/A,2
8cd512f7-c2f8-4f3d-a199-7e67e6c32137,Role__c,Field Value,equals,#N/A,d1fe2d0e-a632-4e68-b370-b818880a509b,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
d1cd75b9-cc8c-49dd-ac9e-231674b7d5ed,Threshold_Type__c,Static Value,equals,#N/A,5d4870fb-d090-4553-aca2-70af4aa0c365,#N/A,#N/A,#N/A,#N/A,Discount
f6e37369-22a7-4933-b935-537bc1f6512e,Product__c,Field Value,equals,#N/A,ce868037-2630-417d-b47a-ce3b5f7f15cb,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
