Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c
a0350010-e150-4a60-9004-8c6733c68acc,f6b11b6b-c605-465c-922c-1abb405e422c,SBQQ__Quantity__c,Protected_Devices__c,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
cc1276f8-070e-4643-b208-f7c2a70d0c5f,a7590b77-4faa-4e6d-bae1-f29f95aa3df3,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
e9d49dff-c6b4-4276-8be3-f9013395547d,5d4870fb-d090-4553-aca2-70af4aa0c365,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
f87b743a-f419-49ab-b8f0-7fa966899b4e,805b4bd8-039a-4775-85e2-43e28f943f13,SBQQ__RenewalUpliftRate__c,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote,#N/A,3
2a3338df-6d28-469c-bdaf-1d11d0fce803,1a77da17-d594-4adb-a14b-3d20c10c4f63,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
044efdfa-cd46-4d2d-bcfa-5c7eee33d33c,7ab8d4e9-df1c-49c1-9acf-f565e072a4ee,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product Option,#N/A,#N/A
15b4a5a3-59c5-4b60-be16-5b46c84f28e6,ba005f95-8114-414e-b659-41c98a51c40f,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
1c2baed8-556d-441d-81dc-509da84ef245,1278d1b5-ffe3-4bd1-9c9f-92592f0e96eb,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
65c9aefc-3f8f-42f6-9298-945c4e8aebbc,2f27d747-15f4-43d7-90cb-3eb67494c05c,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
5be82911-de39-495e-8312-b3b5927bd056,2c50ee93-490f-4f96-b960-760d65f35d95,Discount (%),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,50
