Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
e694ce9c-e725-4abe-ba41-a53ae3f9af62,35f29cfc-1a5c-4d62-91e5-521957b587e7,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
36e58095-f268-47db-8a31-f2c87afbe4fc,be98a335-ad38-4091-8f0b-d5c4ade4c659,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
1b7dbc6c-c34f-4cba-94fb-279f4d94106f,79fc9a47-8de1-49c4-9534-6e4b0e40a4ee,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
8088bb9a-97a5-4dba-bb4d-7bc26adcb6af,be98a335-ad38-4091-8f0b-d5c4ade4c659,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
265022b9-6004-40cc-9b24-201402c78607,002d7dbc-914a-4af1-a679-263f601f5be2,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,Run-on-all-quotelines
9074caa0-8719-4d23-8265-af64b0cdc2b9,d335e0dd-f6b0-4734-b65e-6b78db060361,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-013
7999e3b6-772d-4393-8b6c-0cae3574677a,2aad6669-65c6-4b3e-97b3-95e6c0783554,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
d25272f3-40a9-4230-811f-42e7b4e2ff45,d3ea833c-f4e4-46d8-9f88-bee3bfcb3d9a,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
80ee8ec0-1e49-40b1-94e0-4ac63fe8ef46,738ee6de-1cac-4d81-ac40-59c0dad563be,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
5f871ace-be2c-4243-823c-40baa0f50f44,f6ea57e7-f06d-4161-a1ff-d61e26ac5d6c,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,EP-025
ed5fb756-b62f-4aa3-ac80-6351ca57a494,1278d1b5-ffe3-4bd1-9c9f-92592f0e96eb,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
b7459590-38bf-406d-bcc2-92e2d3547a6c,38b0a07a-af8c-4e4b-89e6-561efae606ad,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,starts with,#N/A,#N/A,SRV
23eb15de-d311-4922-8021-f5b855c5a930,83c0aea0-2aab-4da4-a6d0-5fd66192aac2,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
5da99a54-5123-4254-8114-22d512c2685f,76bc0c50-5b45-4335-8403-5f378a24d860,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
ae83acf5-1995-46fb-b59f-839955941390,aac4a509-4dbe-4f76-b544-af478bbdf6eb,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
c28d1504-3d6e-4fd4-aaff-5eced2c52deb,c0ae8530-242e-4581-bec4-f5a8d3478e9e,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
7a67f5e6-9956-4349-9c5e-d3b17a60410f,e12f30b6-3ddc-4a47-b15c-4f22f00f9f7a,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
279a3bee-22ed-4f0f-9845-3748adf14bb0,738ee6de-1cac-4d81-ac40-59c0dad563be,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
bc762d7c-329d-4a8f-b481-a183a8a9e058,018d7b05-899b-4940-8cd2-4cf0ede37b11,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
6729ab84-1c32-4ddc-b23a-eaae35e06af3,f6b11b6b-c605-465c-922c-1abb405e422c,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
2696207f-7d35-427b-a1b7-5742bbda90db,00f20c34-6bb1-4f87-bc40-e27e91761ac7,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
fd3b31a1-900e-4c85-b55d-38dc6aa41c32,b4b6c829-9617-4e4b-b688-de4997e89325,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
804c5f5a-0c9e-4f2f-81e6-aac5830a3425,ba005f95-8114-414e-b659-41c98a51c40f,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
3efacaff-b147-4855-8f6c-c8bc509b7d53,f6ea57e7-f06d-4161-a1ff-d61e26ac5d6c,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
ab8ecaed-5f97-4356-8956-25c9a93756c4,2c50ee93-490f-4f96-b960-760d65f35d95,Handling_Fee__c,#N/A,Value,#N/A,#N/A,Quote,equals,#N/A,#N/A,15
38c4c6c8-697e-4744-abc6-78a9e196924f,c1a47290-2fec-437f-91cb-3d9a881655ea,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
